2020/09/14 15:48:16 [warn] 29#29: *51 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /profiles/mikedoe HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/mikedoe/edit"
2020/09/14 15:50:48 [warn] 29#29: *56 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 15:57:02 [warn] 29#29: *63 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 16:07:38 [warn] 29#29: *20 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: localhost, request: "GET /password/reset HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "first-project.test", referrer: "http://first-project.test/login"
2020/09/14 16:08:02 [warn] 28#28: *33 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 16:08:55 [warn] 29#29: *20 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.18.0.1, server: localhost, request: "POST /profiles/testuser HTTP/1.1", host: "first-project.test", referrer: "http://first-project.test/profiles/testuser/edit"
2020/09/14 16:12:40 [warn] 29#29: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 16:31:12 [warn] 29#29: *33 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 16:31:58 [warn] 29#29: *32 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 16:42:07 [warn] 28#28: *3 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /profiles/daniyarketebay HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/daniyarketebay/edit"
2020/09/14 17:02:07 [error] 28#28: *41 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore"
